model,releaseDate,maxResolution,effectivePixels,normalFocusRange,weight,price
Fujifilm FinePix 2400 Zoom,2000,1600.0,1.0,80.0,290.0,169.0
Fujifilm FinePix 2600 Zoom,2001,1600.0,1.0,80.0,260.0,169.0
Fujifilm FinePix 2650,2002,1600.0,1.0,80.0,235.0,169.0
Fujifilm FinePix 2800 Zoom,2001,1600.0,1.0,80.0,360.0,169.0
Fujifilm Finepix 30i,2001,1600.0,1.0,60.0,200.0,199.0
Fujifilm FinePix 3800,2002,2048.0,3.0,80.0,400.0,399.0
Fujifilm FinePix 4800 Zoom,2001,2400.0,2.0,60.0,280.0,169.0
Fujifilm FinePix 4900 Zoom,2000,2400.0,2.0,50.0,450.0,169.0
Fujifilm FinePix 6800 Zoom,2001,2832.0,3.0,60.0,280.0,169.0
Fujifilm FinePix 6900 Zoom,2001,2832.0,3.0,50.0,450.0,169.0
Fujifilm FinePix A101,2001,1280.0,1.0,80.0,190.0,169.0
Fujifilm FinePix A120,2004,2016.0,3.0,80.0,170.0,169.0
Fujifilm FinePix A200,2002,1600.0,1.0,80.0,180.0,169.0
Fujifilm FinePix A201,2001,1600.0,1.0,80.0,190.0,169.0
Fujifilm FinePix A203,2002,1600.0,1.0,60.0,180.0,169.0
Fujifilm FinePix A205 Zoom,2003,1600.0,1.0,80.0,225.0,169.0
Fujifilm FinePix A210 Zoom,2003,2048.0,3.0,80.0,225.0,169.0
Fujifilm FinePix A303,2002,2048.0,3.0,60.0,180.0,169.0
Fujifilm FinePix A310 Zoom,2003,2816.0,3.0,60.0,190.0,169.0
Fujifilm FinePix A330,2004,2016.0,3.0,60.0,160.0,169.0
Fujifilm FinePix A340,2004,2272.0,4.0,60.0,160.0,169.0
Fujifilm FinePix A345 Zoom,2005,2304.0,4.0,60.0,192.0,169.0
Fujifilm FinePix A350 Zoom,2005,2592.0,5.0,60.0,192.0,169.0
Fujifilm FinePix A400 Zoom,2006,2303.0,4.0,60.0,170.0,169.0
Fujifilm FinePix A500 Zoom,2006,2592.0,5.0,60.0,170.0,169.0
Fujifilm FinePix A600 Zoom,2006,2848.0,6.0,50.0,195.0,169.0
Fujifilm FinePix A610,2007,2848.0,6.0,60.0,195.0,169.0
Fujifilm FinePix A800,2007,3296.0,8.0,50.0,200.0,169.0
Fujifilm FinePix A820,2007,3296.0,8.0,60.0,205.0,169.0
Fujifilm FinePix A900,2007,3488.0,9.0,60.0,205.0,169.0
Fujifilm FinePix A920,2007,3488.0,9.0,60.0,206.0,169.0
Fujifilm FinePix E500 Zoom,2004,2304.0,4.0,60.0,226.0,169.0
Fujifilm FinePix E510 Zoom,2004,2592.0,5.0,60.0,226.0,169.0
Fujifilm FinePix E550 Zoom,2004,4048.0,6.0,60.0,260.0,169.0
Fujifilm FinePix E900 Zoom,2005,3488.0,9.0,60.0,260.0,169.0
Fujifilm FinePix F10 Zoom,2005,2848.0,6.0,60.0,190.0,179.0
Fujifilm FinePix F11 Zoom,2005,2848.0,6.0,60.0,190.0,199.0
Fujifilm FinePix F20 Zoom,2006,2848.0,6.0,60.0,190.0,169.0
Fujifilm FinePix F30 Zoom,2006,2848.0,6.0,60.0,185.0,169.0
Fujifilm FinePix F31 fd,2006,2848.0,6.0,60.0,185.0,199.0
Fujifilm FinePix F401 Zoom,2002,2304.0,2.0,60.0,200.0,169.0
Fujifilm FinePix F402,2002,2304.0,2.0,50.0,145.0,199.0
Fujifilm FinePix F40 fd,2007,3296.0,8.0,45.0,181.0,199.0
Fujifilm FinePix F410 Zoom,2003,2816.0,3.0,60.0,205.0,169.0
Fujifilm FinePix F420 Zoom,2003,2816.0,3.0,60.0,180.0,169.0
Fujifilm FinePix F440 Zoom,2004,2304.0,3.0,60.0,180.0,169.0
Fujifilm FinePix F450 Zoom,2004,2592.0,5.0,60.0,180.0,199.0
Fujifilm FinePix F455 Zoom,2004,2592.0,5.0,60.0,180.0,199.0
Fujifilm FinePix F470 Zoom,2006,2816.0,6.0,70.0,150.0,169.0
Fujifilm FinePix F480 Zoom,2007,3264.0,8.0,40.0,170.0,169.0
Fujifilm FinePix F50 fd,2007,4000.0,12.0,45.0,205.0,199.0
Fujifilm FinePix F601Z,2002,2832.0,3.0,60.0,280.0,169.0
Fujifilm FinePix F610,2003,4048.0,6.0,60.0,205.0,169.0
Fujifilm FinePix F650 Zoom,2006,2816.0,6.0,60.0,200.0,169.0
Fujifilm FinePix F700,2003,2832.0,3.0,60.0,205.0,169.0
Fujifilm FinePix F710,2004,2832.0,3.0,60.0,225.0,169.0
Fujifilm FinePix F810 Zoom,2004,4048.0,6.0,60.0,250.0,169.0
Fujifilm FinePix IS-1,2007,3488.0,9.0,0.0,750.0,169.0
Fujifilm FinePix M603,2002,2832.0,3.0,60.0,280.0,169.0
Fujifilm FinePix S20 Pro,2004,2832.0,6.0,50.0,597.0,1699.0
Fujifilm FinePix S3000 Z,2003,2048.0,3.0,80.0,400.0,229.0
Fujifilm FinePix S3500 Zoom,2004,2272.0,4.0,80.0,385.0,229.0
Fujifilm FinePix S5000 Z,2003,2816.0,3.0,90.0,430.0,229.0
Fujifilm FinePix S5100 Zoom,2004,2272.0,4.0,90.0,387.0,229.0
Fujifilm FinePix S5200 Zoom,2005,2592.0,5.0,90.0,470.0,229.0
Fujifilm FinePix S5700 Zoom,2007,3072.0,7.0,30.0,406.0,229.0
Fujifilm FinePix S6000 fd,2006,2848.0,6.0,40.0,700.0,399.0
Fujifilm FinePix S602Z,2002,2832.0,3.0,50.0,590.0,399.0
Fujifilm FinePix S602Z Pro,2002,2832.0,3.0,50.0,590.0,1699.0
Fujifilm FinePix S7000 Z,2003,4048.0,6.0,50.0,590.0,229.0
Fujifilm FinePix S8000 fd,2007,3264.0,8.0,70.0,510.0,399.0
Fujifilm FinePix S9000 Z,2005,3488.0,9.0,50.0,745.0,229.0
Fujifilm FinePix S9100,2006,3488.0,9.0,0.0,750.0,229.0
Fujifilm FinePix V10 Zoom,2006,2592.0,5.0,60.0,185.0,179.0
Fujifilm FinePix Z1,2005,2592.0,5.0,60.0,170.0,179.0
Fujifilm FinePix Z10  fd,2007,3072.0,7.0,60.0,160.0,399.0
Fujifilm FinePix Z2,2005,2592.0,5.0,60.0,170.0,179.0
Fujifilm FinePix Z3,2006,2592.0,5.0,60.0,170.0,179.0
Fujifilm FinePix IS Pro,2007,4256.0,6.0,0.0,920.0,1699.0
Fujifilm MX-1200,1999,1280.0,1.0,70.0,240.0,169.0
Fujifilm MX-1400,2000,1280.0,1.0,80.0,390.0,169.0
Fujifilm MX-1500,1999,1280.0,1.0,50.0,250.0,169.0
Fujifilm MX-1700,1999,1280.0,1.0,80.0,270.0,169.0
